"GEO_ID","NAME","B25111_001E","B25111_001M","B25111_002E","B25111_002M","B25111_003E","B25111_003M","B25111_004E","B25111_004M","B25111_005E","B25111_005M","B25111_006E","B25111_006M","B25111_007E","B25111_007M","B25111_008E","B25111_008M","B25111_009E","B25111_009M","B25111_010E","B25111_010M",
"Geography","Geographic Area Name","Estimate!!Median gross rent!!Total","Margin of Error!!Median gross rent!!Total","Estimate!!Median gross rent!!Total!!Built 2010 or later","Margin of Error!!Median gross rent!!Total!!Built 2010 or later","Estimate!!Median gross rent!!Total!!Built 2000 to 2009","Margin of Error!!Median gross rent!!Total!!Built 2000 to 2009","Estimate!!Median gross rent!!Total!!Built 1990 to 1999","Margin of Error!!Median gross rent!!Total!!Built 1990 to 1999","Estimate!!Median gross rent!!Total!!Built 1980 to 1989","Margin of Error!!Median gross rent!!Total!!Built 1980 to 1989","Estimate!!Median gross rent!!Total!!Built 1970 to 1979","Margin of Error!!Median gross rent!!Total!!Built 1970 to 1979","Estimate!!Median gross rent!!Total!!Built 1960 to 1969","Margin of Error!!Median gross rent!!Total!!Built 1960 to 1969","Estimate!!Median gross rent!!Total!!Built 1950 to 1959","Margin of Error!!Median gross rent!!Total!!Built 1950 to 1959","Estimate!!Median gross rent!!Total!!Built 1940 to 1949","Margin of Error!!Median gross rent!!Total!!Built 1940 to 1949","Estimate!!Median gross rent!!Total!!Built 1939 or earlier","Margin of Error!!Median gross rent!!Total!!Built 1939 or earlier",
"0500000US19111","Lee County, Iowa","576","21","725","158","483","115","421","186","392","149","507","53","579","86","664","135","573","33","623","20",
"0500000US19113","Linn County, Iowa","689","16","590","470","797","41","701","58","651","70","679","22","646","30","665","83","687","73","708","66",
"0500000US19115","Louisa County, Iowa","617","26","-","**","612","108","525","187","622","84","687","44","760","112","683","33","635","20","517","61",
"0500000US19117","Lucas County, Iowa","481","103","-","**","494","1346","-","**","480","100","806","329","275","16","700","244","429","13","545","237",
"0500000US19119","Lyon County, Iowa","563","47","-","**","1125","219","450","173","484","77","527","153","546","185","635","87","613","218","619","46",
"0500000US19121","Madison County, Iowa","812","83","-","**","776","243","773","93","548","160","400","436","854","64","866","160","941","50","1001","97",
"0500000US19123","Mahaska County, Iowa","582","27","-","**","597","293","479","88","495","107","546","55","614","41","688","71","630","29","589","79",
"0500000US19125","Marion County, Iowa","664","38","-","**","881","145","638","196","590","59","645","44","585","65","674","34","782","250","659","98",
"0500000US19127","Marshall County, Iowa","654","38","-","**","755","89","738","77","628","85","623","50","706","99","697","111","555","230","631","44",
"0500000US19129","Mills County, Iowa","706","49","-","**","786","565","1029","326","-","**","724","139","677","222","855","182","741","177","626","30",
"0500000US19131","Mitchell County, Iowa","534","73","-","**","575","308","692","192","888","963","410","23","430","65","566","127","512","48","605","87",
"0500000US19133","Monona County, Iowa","542","33","671","290","540","426","596","89","514","187","571","94","381","233","716","73","710","280","506","50",
"0500000US19135","Monroe County, Iowa","542","36","-","**","585","614","1061","340","529","29","341","256","583","304","453","276","-","**","505","92",
"0500000US19137","Montgomery County, Iowa","586","25","-","**","775","85","702","560","506","237","498","158","708","582","592","33","450","251","588","35",
"0500000US19139","Muscatine County, Iowa","736","26","-","**","817","61","711","44","608","193","608","50","706","71","943","366","821","170","835","61",
