"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Occupied","Margin of Error!!Total!!Occupied","Estimate!!Total!!Vacant","Margin of Error!!Total!!Vacant",
"0500000US08021","Conejos County, Colorado","4381","25","2992","112","1389","107",
"0500000US08023","Costilla County, Colorado","2788","14","1568","124","1220","121",
"0500000US08025","Crowley County, Colorado","1587","126","1215","142","372","74",
"0500000US08027","Custer County, Colorado","4394","246","2093","145","2301","216",
"0500000US08029","Delta County, Colorado","14724","101","12119","335","2605","314",
"0500000US08031","Denver County, Colorado","306714","453","287262","1398","19452","1363",
"0500000US08033","Dolores County, Colorado","1422","70","707","72","715","74",
"0500000US08035","Douglas County, Colorado","118044","105","113799","552","4245","548",
"0500000US08037","Eagle County, Colorado","31912","58","17765","521","14147","524",
"0500000US08039","Elbert County, Colorado","9325","48","8866","119","459","112",
"0500000US08041","El Paso County, Colorado","265305","261","249745","1085","15560","1078",
"0500000US08043","Fremont County, Colorado","19630","439","16762","534","2868","340",
"0500000US08045","Garfield County, Colorado","23735","89","21055","434","2680","423",
"0500000US08047","Gilpin County, Colorado","3575","260","2603","200","972","231",
"0500000US08049","Grand County, Colorado","16515","44","5724","439","10791","441",
"0500000US08051","Gunnison County, Colorado","11766","77","6495","319","5271","300",
"0500000US08053","Hinsdale County, Colorado","1439","49","368","45","1071","49",
"0500000US08055","Huerfano County, Colorado","5210","67","3173","194","2037","182",
"0500000US08057","Jackson County, Colorado","1312","56","597","60","715","71",
"0500000US08059","Jefferson County, Colorado","236666","269","227805","919","8861","840",
"0500000US08061","Kiowa County, Colorado","800","59","576","53","224","47",
"0500000US08063","Kit Carson County, Colorado","3548","171","2995","200","553","98",
"0500000US08065","Lake County, Colorado","4686","251","3324","214","1362","265",
"0500000US08067","La Plata County, Colorado","27087","115","21818","525","5269","522",
"0500000US08069","Larimer County, Colorado","142642","247","130502","771","12140","754",
"0500000US08071","Las Animas County, Colorado","8532","168","6327","268","2205","215",
"0500000US08073","Lincoln County, Colorado","1903","619","1477","616","426","88",
"0500000US08075","Logan County, Colorado","9067","87","8151","244","916","227",
"0500000US08077","Mesa County, Colorado","65251","205","60562","726","4689","666",
"0500000US08079","Mineral County, Colorado","1297","42","404","54","893","41",
"0500000US08081","Moffat County, Colorado","6267","40","5103","229","1164","227",
"0500000US08083","Montezuma County, Colorado","12245","44","10520","296","1725","295",
"0500000US08085","Montrose County, Colorado","18716","87","16951","281","1765","289",
"0500000US08087","Morgan County, Colorado","11651","67","10599","267","1052","245",
"0500000US08089","Otero County, Colorado","8975","76","7490","222","1485","220",
"0500000US08091","Ouray County, Colorado","3215","145","2204","108","1011","116",
"0500000US08093","Park County, Colorado","14341","44","7389","413","6952","410",
"0500000US08095","Phillips County, Colorado","1930","110","1696","98","234","87",
"0500000US08097","Pitkin County, Colorado","13574","42","7340","425","6234","421",
"0500000US08099","Prowers County, Colorado","5968","57","4913","214","1055","209",
"0500000US08101","Pueblo County, Colorado","70618","290","63489","721","7129","627",
"0500000US08103","Rio Blanco County, Colorado","3372","44","2417","132","955","120",
"0500000US08105","Rio Grande County, Colorado","6724","41","4750","205","1974","202",
"0500000US08107","Routt County, Colorado","16598","80","9478","424","7120","418",
"0500000US08109","Saguache County, Colorado","4020","34","2626","144","1394","141",
"0500000US08111","San Juan County, Colorado","718","45","255","48","463","45",
"0500000US08113","San Miguel County, Colorado","6763","17","3301","153","3462","152",
"0500000US08115","Sedgwick County, Colorado","1297","77","998","65","299","56",
"0500000US08117","Summit County, Colorado","30652","75","9455","520","21197","510",
"0500000US08119","Teller County, Colorado","13003","61","10076","371","2927","367",
"0500000US08121","Washington County, Colorado","2397","147","2012","153","385","72",
"0500000US08123","Weld County, Colorado","104147","209","99817","544","4330","478",
"0500000US08125","Yuma County, Colorado","4489","39","4053","141","436","135",
"0500000US09001","Fairfield County, Connecticut","369044","363","337678","1419","31366","1400",
"0500000US09003","Hartford County, Connecticut","377840","365","348871","1439","28969","1405",
"0500000US09005","Litchfield County, Connecticut","88068","249","74605","786","13463","703",
"0500000US09007","Middlesex County, Connecticut","75938","217","66599","728","9339","702",
"0500000US09009","New Haven County, Connecticut","365546","356","327402","1520","38144","1510",
"0500000US09011","New London County, Connecticut","122599","235","107193","872","15406","863",
"0500000US09013","Tolland County, Connecticut","59099","385","54878","703","4221","571",
"0500000US09015","Windham County, Connecticut","49577","197","44529","562","5048","527",
"0500000US10001","Kent County, Delaware","69506","233","63381","712","6125","686",
"0500000US10003","New Castle County, Delaware","221003","326","202654","946","18349","961",
"0500000US10005","Sussex County, Delaware","132980","121","86322","967","46658","973",
"0500000US11001","District of Columbia, District of Columbia","308161","125","277985","1316","30176","1315",
"0500000US12001","Alachua County, Florida","115282","694","97485","1158","17797","967",
"0500000US12003","Baker County, Florida","9838","105","8299","327","1539","316",
"0500000US12005","Bay County, Florida","101437","181","68667","883","32770","845",
"0500000US12007","Bradford County, Florida","11021","257","8980","430","2041","335",
"0500000US12009","Brevard County, Florida","274602","218","227223","1810","47379","1799",
"0500000US12011","Broward County, Florida","818382","400","675828","3153","142554","3218",
"0500000US12013","Calhoun County, Florida","6007","104","4581","231","1426","205",
"0500000US12015","Charlotte County, Florida","102657","187","74884","937","27773","917",
"0500000US12017","Citrus County, Florida","78825","187","62488","1128","16337","1082",
"0500000US12019","Clay County, Florida","78815","95","71939","784","6876","784",
"0500000US12021","Collier County, Florida","207403","284","138131","1642","69272","1562",
"0500000US12023","Columbia County, Florida","28806","146","24722","453","4084","402",
"0500000US12027","DeSoto County, Florida","14999","227","11744","398","3255","360",
"0500000US12029","Dixie County, Florida","9369","87","6431","375","2938","358",
"0500000US12031","Duval County, Florida","399736","419","347783","1884","51953","1889",
"0500000US12033","Escambia County, Florida","139751","421","117836","1089","21915","1106",
"0500000US12035","Flagler County, Florida","50279","106","39433","707","10846","686",
"0500000US12037","Franklin County, Florida","8645","69","4327","238","4318","230",
"0500000US12039","Gadsden County, Florida","19680","214","17310","433","2370","363",
"0500000US12041","Gilchrist County, Florida","7436","115","6399","220","1037","183",
"0500000US12043","Glades County, Florida","6985","112","4297","291","2688","266",
"0500000US12045","Gulf County, Florida","9372","100","5295","317","4077","302",
"0500000US12047","Hamilton County, Florida","5795","121","4551","234","1244","197",
"0500000US12049","Hardee County, Florida","9724","65","7718","266","2006","271",
"0500000US12051","Hendry County, Florida","14670","190","12098","467","2572","391",
"0500000US12053","Hernando County, Florida","85726","174","72234","887","13492","851",
"0500000US12055","Highlands County, Florida","55502","145","41350","831","14152","787",
"0500000US12057","Hillsborough County, Florida","563638","395","505845","2125","57793","2154",
"0500000US12059","Holmes County, Florida","8671","97","7019","261","1652","259",
"0500000US12061","Indian River County, Florida","78469","144","57911","965","20558","964",
"0500000US12063","Jackson County, Florida","21060","176","17041","447","4019","387",
"0500000US12065","Jefferson County, Florida","6680","108","5702","188","978","182",
"0500000US12067","Lafayette County, Florida","3226","216","2193","212","1033","189",
"0500000US12069","Lake County, Florida","151295","180","127441","1305","23854","1310",
"0500000US12071","Lee County, Florida","383224","552","264325","2323","118899","2182",
"0500000US12073","Leon County, Florida","127813","398","112373","1132","15440","1037",
"0500000US12075","Levy County, Florida","20327","65","15806","396","4521","391",
"0500000US12077","Liberty County, Florida","3522","209","2325","216","1197","156",
"0500000US12079","Madison County, Florida","8571","103","6743","236","1828","225",
"0500000US12081","Manatee County, Florida","183774","297","140255","1503","43519","1446",
"0500000US12083","Marion County, Florida","166357","261","134747","1420","31610","1435",
"0500000US12085","Martin County, Florida","79523","223","63497","924","16026","933",
"0500000US12086","Miami-Dade County, Florida","1008908","699","858289","3478","150619","3181",
"0500000US12087","Monroe County, Florida","53378","294","30198","778","23180","682",
"0500000US12089","Nassau County, Florida","37177","111","30454","515","6723","493",
"0500000US12091","Okaloosa County, Florida","95651","240","76574","841","19077","814",
"0500000US12093","Okeechobee County, Florida","18598","145","13333","431","5265","408",
"0500000US12095","Orange County, Florida","517631","939","451960","2656","65671","2398",
"0500000US12097","Osceola County, Florida","139796","116","96250","1264","43546","1263",
"0500000US12099","Palm Beach County, Florida","678673","550","543591","2844","135082","2650",
"0500000US12101","Pasco County, Florida","237481","270","195818","1200","41663","1257",
"0500000US12103","Pinellas County, Florida","506468","709","406871","2317","99597","2300",
"0500000US12105","Polk County, Florida","288797","317","226604","1974","62193","1915",
"0500000US12107","Putnam County, Florida","37251","129","27951","622","9300","610",
"0500000US12109","St. Johns County, Florida","100322","166","83744","934","16578","966",
"0500000US12111","St. Lucie County, Florida","138923","128","110043","1570","28880","1598",
"0500000US12113","Santa Rosa County, Florida","69166","164","60607","808","8559","826",
"0500000US12115","Sarasota County, Florida","234414","269","177998","1573","56416","1536",
