CoC-Code,Year,pct_change_homeless,pop_norm,rent_norm,funding_norm,extreme_poverty_rate,poverty_rate,vacancy_rate,homeless_rate,chronic_share,unsheltered_share,sheltered_share,ES_share,TH_share,SH_share
MA-500,2016,-3.8817005545286554,0.07267801339022265,0.47007350367518375,0.0,0.10382782526010857,0.20143073538029477,0.07624156108388051,0.008624216357263691,0.14727564102564103,0.02676282051282051,0.9732371794871795,0.8481804709369339,0.14819693726329655,0.0036225917997694712
MA-500,2017,-1.6826923076923128,0.0740216964075941,0.4966748337416871,0.0,0.09948284822932173,0.19630462424059025,0.07602339181286549,0.00832518003965147,0.12534637326813367,0.030317848410757946,0.9696821515892421,0.897125567322239,0.09430156328794756,0.008572869389813415
MA-500,2018,0.8638956805215869,0.07513073462205161,0.5271263563178159,0.0,0.0959901706236413,0.1934550150943497,0.07612577197078364,0.008273147566320214,0.11700064641241112,0.02634130575307046,0.9736586942469295,0.900746887966805,0.09394190871369294,0.0053112033195020746
MA-500,2019,0.8726567550096931,0.07563407584953523,0.5565278263913196,0.0,0.08949723296851282,0.18185778241716502,0.08126588208782183,0.008289805876173515,0.13216917654597884,0.0193848125600769,0.9806151874399232,0.9166802809998367,0.07874530305505636,0.004574415945107008
MA-500,2020,-1.7302146747837255,0.07604550783272679,0.5799789989499475,0.13610119891266478,0.08569232130756906,0.17385337399893536,0.08279728395134088,0.008102299790375779,0.11134659276165634,0.02200847733941963,0.9779915226605804,0.910318386397733,0.08468078013002167,0.005000833472245374
MA-500,2021,-25.855885229866317,0.07519441818585616,0.6163808190409521,0.1659713455092061,0.08708569108036912,0.1725991055255438,0.0905045923181468,0.0060753730984402805,0.13302550571679858,0.03737906772207564,0.9626209322779243,0.9168570123343993,0.06692553677478301,0.016217450890817726
MA-500,2022,-2.396657871591912,0.0749230096852254,0.6835841792089604,0.1634099534603749,0.08654312811203736,0.17023464460097548,0.08878514007516716,0.005951247764427653,0.11556656904708268,0.026807839603514304,0.9731921603964857,0.9171296296296296,0.06736111111111111,0.015509259259259259
MA-500,2023,17.188555981076824,0.0744211751666646,0.7241862093104655,0.25336288407495144,0.08405880431584374,0.16456921195630167,0.0896957025400503,0.007021209397244965,0.14244521337946944,0.032487504805843906,0.967512495194156,0.9413868468110471,0.051659050268229686,0.006954102920723227
MA-500,2024,13.379469434832746,0.07440671076100552,0.7451872593629681,0.20467434892936073,0.08626345588413967,0.1618472529341725,0.08430966441825968,0.007962157477381155,0.12326212275347576,0.02271956595456087,0.9772804340454392,0.926266481609993,0.06384455239417071,0.009888965995836226
MA-504,2014,0.0,0.04541059977762985,0.2824641232061603,0.0,0.36920129887366065,0.17695162845842807,0.07425309387891162,0.005950221640226153,0.19330855018587362,0.013011152416356878,0.9869888475836431,0.9129943502824859,0.08436911487758945,0.0026365348399246705
